words,2018
aaa,1
aagh,1
aah,2
aames,2
aang,1
aaow,1
ab,1
abacus,1
abandon,1
abandoned,2
abc,1
abdomen,2
abe,1
abercrombie,2
abide,4
ability,2
able,3
abnormal,1
aboard,1
abolished,2
abomination,1
abort,5
abortion,3
abouts,1
aboutta,1
abraza,1
abrupt,2
absence,1
absent,1
absentness,1
absolute,2
absolutely,2
absorbant,1
abstaining,1
absurd,3
abu,1
abundance,1
abuse,1
abusing,1
abyss,1
ac,6
acaba,1
academically,1
academy,2
acapella,1
acc,1
accelerate,2
accept,3
acceptance,1
accepted,3
access,2
accident,4
accolade,1
accomplished,1
accordin,2
account,16
accountant,4
accumulatin,1
accurately,1
accusation,2
accused,3
ace,10
acento,1
acetaminophen,1
ache,8
achievement,1
achilles,2
aching,2
achoo,1
acid,3
acidic,1
acknowledge,3
acknowledged,2
acne,3
acorn,1
acquitted,1
acre,3
acrobat,2
across,10
acrylic,2
act,64
actavis,7
actin,42
acting,12
action,17
activate,1
active,1
activist,2
activo,1
activos,1
actor,3
actress,2
actual,2
actuality,1
actualized,1
actually,8
ad,1
adamant,1
adapt,1
adapter,1
adat,1
add,6
adderall,4
addict,15
addicted,19
addiction,5
addie,1
addin,2
adding,2
address,4
addressin,2
addy,11
adele,1
ademas,1
adidas,3
adios,4
adjacent,1
adjust,1
adjusted,1
adjustin,1
adjusting,2
administer,3
admire,1
admired,1
admission,3
admit,26
admits,1
admittin,2
adobe,2
adonai,1
adorable,1
adoration,1
adore,2
adori,1
adrenaline,10
advance,11
advantage,4
adventure,1
advertise,1
advertised,1
advice,18
advil,1
advise,3
advised,1
advising,1
advisor,3
advisory,1
advocate,1
aerial,1
af,2
afar,1
affa,1
affect,2
affection,1
affiliated,1
afford,14
affordable,3
afforded,1
afghanistan,1
afraid,42
africa,1
african,2
afro,2
afterlife,1
aftermath,1
afternoon,2
afters,1
afterwards,1
aga,1
age,19
agenda,2
agent,1
agghhh,1
aggravated,1
aggression,2
aggressive,4
agh,1
aging,1
aglow,3
ago,11
agony,4
agree,9
agreed,1
agreeing,1
agua,1
ah,115
aha,4
ahaha,1
ahahah,1
ahahaha,1
ahead,26
ahem,1
ahh,18
ahhh,3
ahks,2
ahold,1
ai,1
aid,10
aidan,1
aight,3
aim,22
aimed,1
aimin,5
air,48
airbnb,1
aire,1
airin,1
airline,1
airplane,3
airway,1
aisle,2
aj,1
ak,16
akademiks,2
aki,1
akinyele,1
al,16
aladdin,1
alaikum,1
alamo,1
alarm,7
alarmin,1
alarming,1
alaska,1
albino,1
album,28
alcohol,8
alcoholic,2
aleman,1
alert,4
alexander,2
alexis,1
algebra,1
alhamdulillah,1
ali,5
alias,3
alibi,4
alibulali,1
alice,2
alien,8
alienated,1
align,5
aligned,1
alike,5
alimony,1
alive,55
allah,1
allergy,1
alleviated,1
alley,4
alligator,2
allow,5
allowance,2
allowed,2
allows,1
alls,1
almanac,1
almighty,1
almost,19
alo,3
aloft,1
alone,113
along,22
aloof,2
alphabet,2
alpo,1
already,54
alright,81
also,3
altar,3
altercation,2
altered,1
alternate,1
although,2
altre,1
altri,1
alumnus,1
always,161
alzheimer,1
amar,1
amas,1
amateur,1
amaze,2
amazed,1
amazin,6
amazing,13
amber,1
ambiance,1
ambidex,2
ambien,2
ambition,6
amed,2
amen,10
amends,3
amenity,1
america,8
american,3
americana,1
amerika,1
amex,2
ami,2
amidst,1
amiga,1
amigo,2
amiri,1
amiris,2
ammo,2
ammunition,2
amo,3
among,1
amongst,2
amor,3
amos,1
amount,5
amoxicillin,2
amp,1
amplified,1
amused,1
anaconda,1
analyst,1
analyze,1
ancestor,1
anche,1
anchor,1
ancient,4
andamos,2
andre,4
android,1
andy,1
anemic,1
angel,31
angeles,1
angelina,1
angelo,1
angelou,1
anger,7
angle,12
angry,5
anguish,1
angus,1
ani,1
animal,3
anitta,1
ankle,6
anna,2
anne,1
annebbiati,1
annoyed,2
annoying,2
anomaly,1
anorl,1
another,111
anpanman,1
answer,30
answered,1
answerphone,1
ante,1
anthem,1
anthonio,1
anthony,1
anti,2
antibiotic,1
antidote,2
antisocial,1
antsy,1
antwoord,1
anuel,2
anunnaki,1
anus,1
anxiety,6
anxious,7
anybody,28
anymore,19
anyone,19
anythin,1
anything,48
anytime,3
anyway,13
anywhere,15
aod,1
aol,1
ap,25
apart,32
apartment,7
apc,1
apd,1
ape,6
apeshit,1
apiece,2
apocalypse,3
apologize,9
apologizing,1
apology,10
apostrophe,7
app,2
apparatus,1
apparent,1
apparition,1
appas,1
appear,2
appearance,1
appeared,1
appears,1
appetit,1
appetite,1
appetizing,1
applaud,1
applauded,1
applaudin,1
apple,9
applebee,1
application,1
applyin,1
appraisal,1
approached,2
approve,1
appuie,1
apricot,1
april,1
apron,1
aps,2
aquamarine,1
aqui,2
arch,3
architecture,2
area,3
arena,3
argh,2
argue,6
argument,2
ari,1
aria,2
ariana,2
ariel,1
arizona,2
arm,41
armageddon,5
armed,4
armes,1
armory,1
army,11
aroma,1
arose,1
around,210
arounds,1
arrache,1
arraignment,1
arranca,1
arrangement,2
arrest,3
arrete,1
arriba,1
arrival,1
arrive,2
arrived,6
arrogant,2
arrove,2
arrow,3
arse,1
arsenal,1
arson,1
art,4
artest,1
arthritis,1
arthur,1
artille,1
artist,5
as,5
asahd,1
asap,3
ascension,1
ash,16
ashamed,8
ashanti,1
ashley,3
ashtray,6
ashy,2
asi,3
asian,1
asics,1
aside,6
ask,71
asked,18
askin,27
asking,12
asleep,17
aspen,1
aspettare,1
aspire,1
assassin,1
assassinatin,1
assault,1
asscheeks,1
assemble,1
assembly,1
asshole,5
assist,6
assisted,1
associate,2
assume,1
assuming,1
asthma,3
aston,2
astray,3
astro,1
astronaut,2
astronomical,1
astroworld,4
asusta,1
asylum,1
asznee,1
atari,1
ate,13
atl,3
atlanta,8
atlantic,3
atmosphere,2
atnas,1
atom,1
atrophy,1
attached,5
attachment,1
attack,15
attacked,1
attacker,1
attain,5
attained,1
attempt,2
attendance,2
attendant,2
attended,1
attends,1
attention,28
attic,1
attitude,13
attorney,3
attract,1
attracted,1
attractin,2
attraction,1
atv,1
au,1
auction,2
audemars,4
audi,3
audience,3
audio,2
audit,1
audrey,1
audy,1
auf,1
aunt,3
auntie,8
aura,2
austin,1
australia,2
auto,3
autograph,2
automatic,10
autopilot,1
autotune,2
autumn,1
avatar,1
ave,3
avenger,1
avenue,6
average,10
avery,1
avianne,2
avoid,3
avoiding,2
aw,13
awaited,1
awaits,1
awake,18
awakened,1
awakening,1
award,9
aware,3
awareness,1
away,146
awe,2
awesome,6
awful,6
awfully,1
awhile,2
awkward,6
aww,3
ay,17
ayesha,2
ayisyen,1
ayo,21
ayuda,1
ayy,208
azae,1
azalea,1
azuca,1
azucar,1
azul,1
ba,5
baba,2
babe,58
baby,345
babyface,1
babygirl,1
babysitting,1
bacardi,6
baccarat,1
bach,1
bachelor,2
back,399
backache,1
backbone,4
backend,3
backfield,1
background,3
backin,4
backlash,1
backpack,2
backroom,1
backseat,8
backstabbed,1
backstage,2
backstreet,1
backstreets,4
backup,1
backwards,8
backway,1
backwood,10
backwoods,2
backyard,2
bacon,3
bad,185
badda,1
badder,1
baddest,12
baddie,7
baddy,1
badge,2
badu,1
bae,24
baes,1
baffled,1
bag,89
baggage,2
bagged,5
baggin,2
baggy,1
baguette,9
bah,3
bail,4
bailalo,2
bailame,1
bailan,1
bailando,1
bailandome,1
baile,1
bailemos,1
bailin,1
baitin,1
bajes,1
bajo,1
bak,1
baka,4
bakbak,1
bake,4
baked,1
baker,1
bakin,3
baking,1
bal,1
balance,9
balcony,1
bald,2
baldi,1
bale,5
balenci,1
balenciaga,9
balencis,1
ball,56
balled,1
baller,4
ballers,2
ballet,2
ballin,22
balling,4
ballistic,2
balloon,1
ballot,1
ballsack,1
balmain,1
balmains,1
balvin,1
bam,1
bamba,3
bamboo,1
ban,2
banana,2
band,85
bandana,5
bandanna,1
bandit,4
bandito,1
bando,7
bang,30
banged,1
banger,5
bangin,6
banging,1
bangladesh,1
bangle,1
banjo,1
bank,38
bankin,1
bankroll,10
bankruptcy,1
banner,2
banquet,1
banquette,1
banshee,1
banx,1
baow,5
bap,3
bape,4
baphomet,1
baptist,1
baptized,3
bar,40
barack,2
barbarian,1
barbed,1
barber,1
barbie,6
barbies,1
barcode,3
bardi,5
bare,8
barefoot,2
barely,22
barf,1
bargain,1
bargainin,1
barge,1
bari,1
bark,4
barker,1
barkin,2
barkley,1
barnacle,1
barney,3
barre,1
barrel,2
barricade,1
barry,5
bart,1
bartender,6
basal,1
base,5
baseball,2
based,4
basel,1
basement,12
bashed,1
bashin,1
basic,11
basically,1
bask,1
basketball,2
bass,5
basset,1
bassline,3
bastard,9
bastardi,1
bat,8
bath,8
bathed,1
bathhouse,1
bathi,1
bathing,2
bathrobe,1
bathroom,9
bathtub,1
batman,2
battered,3
battery,4
batting,1
battle,3
battleground,1
battlin,2
battling,1
bauer,1
bay,8
bayou,1
bazaar,1
bazooka,1
bb,1
bba,1
beach,20
beacon,1
bead,1
beaked,1
beam,11
beamen,1
beamin,1
bean,18
beanbag,2
bear,8
beard,7
bearin,1
beast,18
beat,127
beaten,3
beater,3
beatin,2
beating,14
beatle,1
beatles,1
beautiful,51
beauty,8
beba,1
bebathi,1
bebe,8
became,2
beckham,3
becky,1
become,13
becomes,8
bed,62
bedroom,5
bedside,2
bedtime,1
bee,3
beef,26
beefin,7
beefing,2
beehive,1
beens,1
