,track_name,artist,streams,uid,cleaned_lyrics,stemmed_lyrics,lemmatized_lyrics
0,God's Plan,Drake,784711973,2XW4DbS6NddZxRPm5rMCeY,wishin wishin wishin wishin wishin yeah movin calm start trouble tryna keep peaceful struggle pull cuddle know like lovin wanna die miss yes see things wishin hope got brothers outlive gon tell story shit different god plan god plan hold back sometimes yeah feel good sometimes ayy finessed weston road ayy nessed might go yeah wait go hard southside yeah wait make sure north side eat still bad things lot bad things wishin wishin wishin wishin wishin bad things lot bad things wishin wishin wishin wishin wishin yeah ayy ayy say love tell partly love bed mama sorry fifty dub even got tatted eighty one bring crashers party know turn dog without oli magine never met broskies god plan god plan ayy ayy someone watchin shit close yep close since scarlett road ayy road ayy might go yeah wait yeah go hard southside ayy wait ayy make sure north side eat yeah still bad things lot bad things wishin wishin wishin wishin wishin yeah yeah bad things lot bad things wishin wishin wishin wishin wishin yeah,wishin wishin wishin wishin wishin yeah movin calm start troubl tryna keep peac struggl pull cuddl know like lovin wanna die miss ye see thing wishin hope got brother outliv gon tell stori shit differ god plan god plan hold back sometim yeah feel good sometim ayi finess weston road ayi ness might go yeah wait go hard southsid yeah wait make sure north side eat still bad thing lot bad thing wishin wishin wishin wishin wishin bad thing lot bad thing wishin wishin wishin wishin wishin yeah ayi ayi say love tell partli love bed mama sorri fifti dub even got tat eighti one bring crasher parti know turn dog without oli magin never met broski god plan god plan ayi ayi someon watchin shit close yep close sinc scarlett road ayi road ayi might go yeah wait yeah go hard southsid ayi wait ayi make sure north side eat yeah still bad thing lot bad thing wishin wishin wishin wishin wishin yeah yeah bad thing lot bad thing wishin wishin wishin wishin wishin yeah,wishin wishin wishin wishin wishin yeah movin calm start trouble tryna keep peaceful struggle pull cuddle know like lovin wanna die miss yes see thing wishin hope got brother outlive gon tell story shit different god plan god plan hold back sometimes yeah feel good sometimes ayy finessed weston road ayy nessed might go yeah wait go hard southside yeah wait make sure north side eat still bad thing lot bad thing wishin wishin wishin wishin wishin bad thing lot bad thing wishin wishin wishin wishin wishin yeah ayy ayy say love tell partly love bed mama sorry fifty dub even got tatted eighty one bring crasher party know turn dog without oli magine never met broskies god plan god plan ayy ayy someone watchin shit close yep close since scarlett road ayy road ayy might go yeah wait yeah go hard southside ayy wait ayy make sure north side eat yeah still bad thing lot bad thing wishin wishin wishin wishin wishin yeah yeah bad thing lot bad thing wishin wishin wishin wishin wishin yeah
1,SAD!,XXXTENTACION,754067334,3ee8Jmje8o58CHK66QrVC2,yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah gave everything took heart left lonely think broken heart contagious fix rather weep lost found torture bein love love around fuckin hate leave someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah kembed,yeah someon afraid let go uh decid ever gonna let know yeah suicid ever tri let go uh sad know yeah sad know yeah someon afraid let go uh decid ever gonna let know yeah suicid ever tri let go uh sad know yeah sad know yeah gave everyth took heart left lone think broken heart contagi fix rather weep lost found tortur bein love love around fuckin hate leav someon afraid let go uh decid ever gonna let know yeah suicid ever tri let go uh sad know yeah sad know yeah someon afraid let go uh decid ever gonna let know yeah suicid ever tri let go uh sad know yeah sad know yeah someon afraid let go uh decid ever gonna let know yeah suicid ever tri let go uh sad know yeah sad know yeah someon afraid let go uh decid ever gonna let know yeah suicid ever tri let go uh sad know yeah sad know yeah kemb,yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah gave everything took heart left lonely think broken heart contagious fix rather weep lost found torture bein love love around fuckin hate leave someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah someone afraid let go uh decide ever gonna let know yeah suicide ever try let go uh sad know yeah sad know yeah kembed
2,Better Now,Post Malone,699355089,7dt6x5M1jzdTEt8oCbisTK,prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh believe would end everything came second benzo even speakin friends knew uncles aunts though twenty candles blow em open eyes lookin forward rest lives used keep picture posted bedside dresser socks like rollin rollin rollin rollin brothers like jonas jonas drinkin henny tryna forget get shit outta head prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh seen dude seemed like pretty cool broken life goes wonder gonna take gonna take another foreign bigger chain bigger chain matter life changed keep looking back better days prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh promise swear okay love life love life prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh,prolli think better better say caus around around know never meant let let woulda gave anyth woulda gave everyth know say better better say caus around around know never meant let let woulda gave anyth woulda gave everyth oh oh believ would end everyth came second benzo even speakin friend knew uncl aunt though twenti candl blow em open eye lookin forward rest live use keep pictur post bedsid dresser sock like rollin rollin rollin rollin brother like jona jona drinkin henni tryna forget get shit outta head prolli think better better say caus around around know never meant let let woulda gave anyth woulda gave everyth know say better better say caus around around know never meant let let woulda gave anyth woulda gave everyth oh oh seen dude seem like pretti cool broken life goe wonder gonna take gonna take anoth foreign bigger chain bigger chain matter life chang keep look back better day prolli think better better say caus around around know never meant let let woulda gave anyth woulda gave everyth know say better better say caus around around know never meant let let woulda gave anyth woulda gave everyth oh oh promis swear okay love life love life prolli think better better say caus around around know never meant let let woulda gave anyth woulda gave everyth know say better better say caus around around know never meant let let woulda gave anyth woulda gave everyth oh oh,prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh believe would end everything came second benzo even speakin friend knew uncle aunt though twenty candle blow em open eye lookin forward rest life used keep picture posted bedside dresser sock like rollin rollin rollin rollin brother like jonas jonas drinkin henny tryna forget get shit outta head prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh seen dude seemed like pretty cool broken life go wonder gonna take gonna take another foreign bigger chain bigger chain matter life changed keep looking back better day prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh promise swear okay love life love life prolly think better better say cause around around know never meant let let woulda gave anything woulda gave everything know say better better say cause around around know never meant let let woulda gave anything woulda gave everything oh oh
3,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",667709525,7ef4DlsgrMEH11cDZd32M6,one kiss takes fallin love possibilities look like need let take night love real easy know still wanna see sunday morning music real loud let love moon still something ou ou lit heaven feeling let slee ee eep cause lost way move way feel one kiss takes fallin love possibilities look like need one kiss takes fallin love possibilities look like need one one one one wanna feel skin mine feel eyes exploring passion message smile take time something ou ou lit heaven feeling let slee ee eep cause lost way move way feel one kiss takes fallin love possibilities look like need one kiss takes fallin love possibilities look like need one one one one see wonderland eyes might need company tonight something ou ou lit heaven feeling let slee ee eep cause lost way move way feel one kiss takes fallin love possibilities look like need one kiss takes fallin love possibilities look like need one one one one,one kiss take fallin love possibl look like need let take night love real easi know still wanna see sunday morn music real loud let love moon still someth ou ou lit heaven feel let slee ee eep caus lost way move way feel one kiss take fallin love possibl look like need one kiss take fallin love possibl look like need one one one one wanna feel skin mine feel eye explor passion messag smile take time someth ou ou lit heaven feel let slee ee eep caus lost way move way feel one kiss take fallin love possibl look like need one kiss take fallin love possibl look like need one one one one see wonderland eye might need compani tonight someth ou ou lit heaven feel let slee ee eep caus lost way move way feel one kiss take fallin love possibl look like need one kiss take fallin love possibl look like need one one one one,one kiss take fallin love possibility look like need let take night love real easy know still wanna see sunday morning music real loud let love moon still something ou ou lit heaven feeling let slee ee eep cause lost way move way feel one kiss take fallin love possibility look like need one kiss take fallin love possibility look like need one one one one wanna feel skin mine feel eye exploring passion message smile take time something ou ou lit heaven feeling let slee ee eep cause lost way move way feel one kiss take fallin love possibility look like need one kiss take fallin love possibility look like need one one one one see wonderland eye might need company tonight something ou ou lit heaven feeling let slee ee eep cause lost way move way feel one kiss take fallin love possibility look like need one kiss take fallin love possibility look like need one one one one
4,IDGAF,Dua Lipa,628443381,76cy1WJvNGJTj78UqeA5zr,call friendly tellin much miss funny guess heard songs well busy business go find girl wants listen cause think born yesterday got wrong cut need love cause already cried enough done movin since said goodbye cut need love try want time tell say sorry late save get gone shut cause think care well boy give fuck remember weekend best friend caught creepin blamed alcohol made decision cause made bed sleep play victim switch position done cut need love cause already cried enough done movin since said goodbye cut need love try want time tell say sorry late save get gone shut cause think care well boy give fuck see tryna get see beggin knees boy give fuck stop tryna get tch get knees cause boy give fuck give damn keep reminiscin man past talk sweet talk comin back cut need love try want time tell tell say sorry late save get gone shut late cause think care well boy give fuck boy give see tryna get see beggin knees boy give fuck stop tryna get get tch get knees cause boy give fuck,call friendli tellin much miss funni guess heard song well busi busi go find girl want listen caus think born yesterday got wrong cut need love caus alreadi cri enough done movin sinc said goodby cut need love tri want time tell say sorri late save get gone shut caus think care well boy give fuck rememb weekend best friend caught creepin blame alcohol made decis caus made bed sleep play victim switch posit done cut need love caus alreadi cri enough done movin sinc said goodby cut need love tri want time tell say sorri late save get gone shut caus think care well boy give fuck see tryna get see beggin knee boy give fuck stop tryna get tch get knee caus boy give fuck give damn keep reminiscin man past talk sweet talk comin back cut need love tri want time tell tell say sorri late save get gone shut late caus think care well boy give fuck boy give see tryna get see beggin knee boy give fuck stop tryna get get tch get knee caus boy give fuck,call friendly tellin much miss funny guess heard song well busy business go find girl want listen cause think born yesterday got wrong cut need love cause already cried enough done movin since said goodbye cut need love try want time tell say sorry late save get gone shut cause think care well boy give fuck remember weekend best friend caught creepin blamed alcohol made decision cause made bed sleep play victim switch position done cut need love cause already cried enough done movin since said goodbye cut need love try want time tell say sorry late save get gone shut cause think care well boy give fuck see tryna get see beggin knee boy give fuck stop tryna get tch get knee cause boy give fuck give damn keep reminiscin man past talk sweet talk comin back cut need love try want time tell tell say sorry late save get gone shut late cause think care well boy give fuck boy give see tryna get see beggin knee boy give fuck stop tryna get get tch get knee cause boy give fuck
5,FRIENDS,"Marshmello, Anne-Marie",609794781,08bNPGLD8AhKpnnERrAc6G,ooh oh ooh woh ooh oh ooh woh say love say crazy nothing friends lover like brother known since like ten yeah mess talking shit gonna push away say love make crazy go go look look eye really going away without fight reasoned done polite told one two three four five six thousand times made obvious made clear want spell made obvious made clear want spell got shame looking insane turning door two morning rain pouring mess talking shit gonna push away got shame looking insane go go look look eye really going away without fight reasoned done polite told one two three four five six thousand times made obvious made made clear made clear want spell made obvious made clear want spell spell spell friends get shit inside head yeah uh ah friends go look look eye really going nowhere without fight reasoned done polite told one two three four five six thousand times made obvious made obvious made clear yeah made clear want spell yo said made obvious made obvious made clear made clear want spell mmm ooh ooh ooh ah ah oh ah oh,ooh oh ooh woh ooh oh ooh woh say love say crazi noth friend lover like brother known sinc like ten yeah mess talk shit gonna push away say love make crazi go go look look eye realli go away without fight reason done polit told one two three four five six thousand time made obviou made clear want spell made obviou made clear want spell got shame look insan turn door two morn rain pour mess talk shit gonna push away got shame look insan go go look look eye realli go away without fight reason done polit told one two three four five six thousand time made obviou made made clear made clear want spell made obviou made clear want spell spell spell friend get shit insid head yeah uh ah friend go look look eye realli go nowher without fight reason done polit told one two three four five six thousand time made obviou made obviou made clear yeah made clear want spell yo said made obviou made obviou made clear made clear want spell mmm ooh ooh ooh ah ah oh ah oh,ooh oh ooh woh ooh oh ooh woh say love say crazy nothing friend lover like brother known since like ten yeah mess talking shit gonna push away say love make crazy go go look look eye really going away without fight reasoned done polite told one two three four five six thousand time made obvious made clear want spell made obvious made clear want spell got shame looking insane turning door two morning rain pouring mess talking shit gonna push away got shame looking insane go go look look eye really going away without fight reasoned done polite told one two three four five six thousand time made obvious made made clear made clear want spell made obvious made clear want spell spell spell friend get shit inside head yeah uh ah friend go look look eye really going nowhere without fight reasoned done polite told one two three four five six thousand time made obvious made obvious made clear yeah made clear want spell yo said made obvious made obvious made clear made clear want spell mmm ooh ooh ooh ah ah oh ah oh
6,In My Feelings,Drake,571870275,2G7V7zsVDxg1yRsu7Ew9RJ,trap trapmoneybenny shit got feelings gotta real yeah kiki love riding say never ever leave beside cause want ya need ya always kb love riding say never ever leave beside cause want ya need ya always look new really still real swear gotta feel try kill gotta make choices runnin options cause goin know stoppin get toppin see learnin take shoppin spend like earned popped ex deserved thought one jump confirmed trapmoneybenny ayy buy champagne love henny block like jenny know special girl cause know many resha love riding say never ever leave beside cause want ya need ya always jt love riding say never ever leave beside cause want ya need ya always two bad bitches kissin wraith kissin kissin wraith kiss kissin wraith need black card code safe code safe code code safe safe show neck work fuck netflix chill net net net worth cause want ya need ya always yeah yeah yeah yeah bad always yeah yeah yeah guess back always al black biggy biggy black biggy black blake always got new boy nigga trade kiki love riding say never ever leave beside cause want need always kb love riding say never ever leave beside cause want ya skate smoke rap let see bring ass bring ass bring ass back bring ass bring ass bring ass back shawty say nigga hit shawty hit hit like miss let see clap ass one love clap ass clap clap ass bring ass back clap clap clap ass one love let go let go let go bring ass back trap trapmoneybenny shit got feelings gotta real yup blaqnmild genius diggin even care need photo drake instagram weak fuck real shit look,trap trapmoneybenni shit got feel gotta real yeah kiki love ride say never ever leav besid caus want ya need ya alway kb love ride say never ever leav besid caus want ya need ya alway look new realli still real swear gotta feel tri kill gotta make choic runnin option caus goin know stoppin get toppin see learnin take shoppin spend like earn pop ex deserv thought one jump confirm trapmoneybenni ayi buy champagn love henni block like jenni know special girl caus know mani resha love ride say never ever leav besid caus want ya need ya alway jt love ride say never ever leav besid caus want ya need ya alway two bad bitch kissin wraith kissin kissin wraith kiss kissin wraith need black card code safe code safe code code safe safe show neck work fuck netflix chill net net net worth caus want ya need ya alway yeah yeah yeah yeah bad alway yeah yeah yeah guess back alway al black biggi biggi black biggi black blake alway got new boy nigga trade kiki love ride say never ever leav besid caus want need alway kb love ride say never ever leav besid caus want ya skate smoke rap let see bring ass bring ass bring ass back bring ass bring ass bring ass back shawti say nigga hit shawti hit hit like miss let see clap ass one love clap ass clap clap ass bring ass back clap clap clap ass one love let go let go let go bring ass back trap trapmoneybenni shit got feel gotta real yup blaqnmild geniu diggin even care need photo drake instagram weak fuck real shit look,trap trapmoneybenny shit got feeling gotta real yeah kiki love riding say never ever leave beside cause want ya need ya always kb love riding say never ever leave beside cause want ya need ya always look new really still real swear gotta feel try kill gotta make choice runnin option cause goin know stoppin get toppin see learnin take shoppin spend like earned popped ex deserved thought one jump confirmed trapmoneybenny ayy buy champagne love henny block like jenny know special girl cause know many resha love riding say never ever leave beside cause want ya need ya always jt love riding say never ever leave beside cause want ya need ya always two bad bitch kissin wraith kissin kissin wraith kiss kissin wraith need black card code safe code safe code code safe safe show neck work fuck netflix chill net net net worth cause want ya need ya always yeah yeah yeah yeah bad always yeah yeah yeah guess back always al black biggy biggy black biggy black blake always got new boy nigga trade kiki love riding say never ever leave beside cause want need always kb love riding say never ever leave beside cause want ya skate smoke rap let see bring as bring as bring as back bring as bring as bring as back shawty say nigga hit shawty hit hit like miss let see clap as one love clap as clap clap as bring as back clap clap clap as one love let go let go let go bring as back trap trapmoneybenny shit got feeling gotta real yup blaqnmild genius diggin even care need photo drake instagram weak fuck real shit look
7,Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",568946166,7fa9MBXhVfQ8P8Df9OEbD8,spent hours need hours spent weekend getting even ooh spent late nights making things right us good babe roll backwood babe play close cause girls like run round guys like til sundown come need girl like yeah yeah girls like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make things right us good babe roll backwood babe play close cause girls like run round guys like til sundown come need girl like yeah yeah girls like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah need girl like yeah yeah need girl like maybe maybe barely alive maybe taken shit last time yeah maybe know drunk maybe know one maybe thinking better drive oh cause girls like run round guys like til sundown come need girl like yeah cause girls like run round guys like til sundown come need girl like yeah yeah girls like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like,spent hour need hour spent weekend get even ooh spent late night make thing right us good babe roll backwood babe play close caus girl like run round guy like til sundown come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make thing right us good babe roll backwood babe play close caus girl like run round guy like til sundown come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah need girl like yeah yeah need girl like mayb mayb bare aliv mayb taken shit last time yeah mayb know drunk mayb know one mayb think better drive oh caus girl like run round guy like til sundown come need girl like yeah caus girl like run round guy like til sundown come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like,spent hour need hour spent weekend getting even ooh spent late night making thing right u good babe roll backwood babe play close cause girl like run round guy like til sundown come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like spent last night last flight took whole day tryna get way ooh spent daylight tryna make thing right u good babe roll backwood babe play close cause girl like run round guy like til sundown come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah need girl like yeah yeah need girl like maybe maybe barely alive maybe taken shit last time yeah maybe know drunk maybe know one maybe thinking better drive oh cause girl like run round guy like til sundown come need girl like yeah cause girl like run round guy like til sundown come need girl like yeah yeah girl like love fun yeah want come need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like yeah yeah yeah yeah yeah yeah yeah yeah need girl like
8,Havana (feat. Young Thug),"Camila Cabello, Young Thug",563633415,1rfofaqEpACxVEHIZBJe6W,hey havana ooh na na ayy half heart havana ooh na na ayy ayy took back east atlanta na na na ah oh heart havana ayy somethin bout manners uh huh havana ooh na na uh walk doin uh came room said lot girls uh without knew forever minute hey summer night june papa says got malo uh got feelin like ooh ooh ooh ooh ooh ooh ooh ooh ayy knew met ayy loved left got feelin like ooh ooh ooh ooh ooh ooh ooh ooh tell go oh na na na na na woo havana ooh na na ayy hey half heart havana ooh na na ayy ayy uh huh took back east atlanta na na na oh heart havana huh heart havana ayy havana ooh na na jeffery graduated fresh campus mmm fresh east atlanta manners damn fresh east atlanta bump bumper like traffic jam hey quick pay girl like uncle sam go ayy back back shawty cravin get eatin waited shawty cakin got bacon wait history makin homie homie point blank close range tah tah cost million gettin mula baby havana ooh na na ayy ayy half heart havana ooh na na oh ayy ayy uh huh took back east atlanta na na na oh oh heart havana huh heart havana ayy havana ooh na na ooh na na oh na na na ooh ooh ooh ooh ooh ooh ooh take back back back like ooh na na oh na na na yeah babe take back back back like ooh na na oh na na na yeah yeah take back back back like ooh na na oh na na na yeah babe take back back back hey hey ooh ooh ooh ooh ooh ooh ooh ooh hey ooh ooh ooh ooh ooh ooh ooh ooh hey take back havana havana ooh na na half heart havana ooh na na oh yeah took back east atlanta na na na ayy ayy oh heart havana heart havana ayy havana ooh na na uh huh oh na na na oh na yeah oh na na na oh na na na take back oh na na na havana ooh na na,hey havana ooh na na ayi half heart havana ooh na na ayi ayi took back east atlanta na na na ah oh heart havana ayi somethin bout manner uh huh havana ooh na na uh walk doin uh came room said lot girl uh without knew forev minut hey summer night june papa say got malo uh got feelin like ooh ooh ooh ooh ooh ooh ooh ooh ayi knew met ayi love left got feelin like ooh ooh ooh ooh ooh ooh ooh ooh tell go oh na na na na na woo havana ooh na na ayi hey half heart havana ooh na na ayi ayi uh huh took back east atlanta na na na oh heart havana huh heart havana ayi havana ooh na na jefferi graduat fresh campu mmm fresh east atlanta manner damn fresh east atlanta bump bumper like traffic jam hey quick pay girl like uncl sam go ayi back back shawti cravin get eatin wait shawti cakin got bacon wait histori makin homi homi point blank close rang tah tah cost million gettin mula babi havana ooh na na ayi ayi half heart havana ooh na na oh ayi ayi uh huh took back east atlanta na na na oh oh heart havana huh heart havana ayi havana ooh na na ooh na na oh na na na ooh ooh ooh ooh ooh ooh ooh take back back back like ooh na na oh na na na yeah babe take back back back like ooh na na oh na na na yeah yeah take back back back like ooh na na oh na na na yeah babe take back back back hey hey ooh ooh ooh ooh ooh ooh ooh ooh hey ooh ooh ooh ooh ooh ooh ooh ooh hey take back havana havana ooh na na half heart havana ooh na na oh yeah took back east atlanta na na na ayi ayi oh heart havana heart havana ayi havana ooh na na uh huh oh na na na oh na yeah oh na na na oh na na na take back oh na na na havana ooh na na,hey havana ooh na na ayy half heart havana ooh na na ayy ayy took back east atlanta na na na ah oh heart havana ayy somethin bout manner uh huh havana ooh na na uh walk doin uh came room said lot girl uh without knew forever minute hey summer night june papa say got malo uh got feelin like ooh ooh ooh ooh ooh ooh ooh ooh ayy knew met ayy loved left got feelin like ooh ooh ooh ooh ooh ooh ooh ooh tell go oh na na na na na woo havana ooh na na ayy hey half heart havana ooh na na ayy ayy uh huh took back east atlanta na na na oh heart havana huh heart havana ayy havana ooh na na jeffery graduated fresh campus mmm fresh east atlanta manner damn fresh east atlanta bump bumper like traffic jam hey quick pay girl like uncle sam go ayy back back shawty cravin get eatin waited shawty cakin got bacon wait history makin homie homie point blank close range tah tah cost million gettin mula baby havana ooh na na ayy ayy half heart havana ooh na na oh ayy ayy uh huh took back east atlanta na na na oh oh heart havana huh heart havana ayy havana ooh na na ooh na na oh na na na ooh ooh ooh ooh ooh ooh ooh take back back back like ooh na na oh na na na yeah babe take back back back like ooh na na oh na na na yeah yeah take back back back like ooh na na oh na na na yeah babe take back back back hey hey ooh ooh ooh ooh ooh ooh ooh ooh hey ooh ooh ooh ooh ooh ooh ooh ooh hey take back havana havana ooh na na half heart havana ooh na na oh yeah took back east atlanta na na na ayy ayy oh heart havana heart havana ayy havana ooh na na uh huh oh na na na oh na yeah oh na na na oh na na na take back oh na na na havana ooh na na
9,Moonlight,XXXTENTACION,532132501,0JP9xo3adEtGSdUEISiszL,yeah spotlight uh moonlight uh nigga trippin get mood right uh shawty look good moonlight pussy niggas bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy niggas bad mind spotlight uh moonlight nigga trippin get mood right uh shawty look good moonlight pussy niggas bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy niggas bad mind feel like destined need smith wesson boy testin fuck scantron lesson oh knife intestine takin shots brethren feel like damaged girl know fucking planned alone call phone make feel right girl know call make feel right alone call phone make feel right girl know call make feel right spotlight uh moonlight uh nigga trippin get mood right uh shawty look good moonlight pussy niggas bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy niggas bad mind spotlight uh moonlight nigga trippin get mood right uh shawty look good moonlight pussy niggas bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy niggas bad mind,yeah spotlight uh moonlight uh nigga trippin get mood right uh shawti look good moonlight pussi nigga bad mind spotlight moonlight nigga trippin get mood right shawti look good moonlight pussi nigga bad mind spotlight uh moonlight nigga trippin get mood right uh shawti look good moonlight pussi nigga bad mind spotlight moonlight nigga trippin get mood right shawti look good moonlight pussi nigga bad mind feel like destin need smith wesson boy testin fuck scantron lesson oh knife intestin takin shot brethren feel like damag girl know fuck plan alon call phone make feel right girl know call make feel right alon call phone make feel right girl know call make feel right spotlight uh moonlight uh nigga trippin get mood right uh shawti look good moonlight pussi nigga bad mind spotlight moonlight nigga trippin get mood right shawti look good moonlight pussi nigga bad mind spotlight uh moonlight nigga trippin get mood right uh shawti look good moonlight pussi nigga bad mind spotlight moonlight nigga trippin get mood right shawti look good moonlight pussi nigga bad mind,yeah spotlight uh moonlight uh nigga trippin get mood right uh shawty look good moonlight pussy nigga bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy nigga bad mind spotlight uh moonlight nigga trippin get mood right uh shawty look good moonlight pussy nigga bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy nigga bad mind feel like destined need smith wesson boy testin fuck scantron lesson oh knife intestine takin shot brother feel like damaged girl know fucking planned alone call phone make feel right girl know call make feel right alone call phone make feel right girl know call make feel right spotlight uh moonlight uh nigga trippin get mood right uh shawty look good moonlight pussy nigga bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy nigga bad mind spotlight uh moonlight nigga trippin get mood right uh shawty look good moonlight pussy nigga bad mind spotlight moonlight nigga trippin get mood right shawty look good moonlight pussy nigga bad mind
