,track_name,artist,streams,uid,cleaned_lyrics,stemmed_lyrics,lemmatized_lyrics
0,Blinding Lights,The Weeknd,1236759169,0VjIjW4GlUZAMYd2vXMi3b,yeah tryna call long enough maybe show love maybe going withdrawals even much turn touch baby look around sin city cold empty oh one around judge oh see clearly gone said ooh blinded lights sleep feel touch said ooh drowning night oh like one trust hey hey hey running time cause see sun light sky hit road overdrive baby oh city cold empty oh one around judge oh see clearly gone said ooh blinded lights sleep feel touch said ooh drowning night oh like one trust calling back let know back let know could never say phone say phone never let go time ooh said ooh blinded lights sleep feel touch hey hey hey hey hey hey said ooh blinded lights sleep feel touch,yeah tryna call long enough mayb show love mayb go withdraw even much turn touch babi look around sin citi cold empti oh one around judg oh see clearli gone said ooh blind light sleep feel touch said ooh drown night oh like one trust hey hey hey run time caus see sun light sky hit road overdr babi oh citi cold empti oh one around judg oh see clearli gone said ooh blind light sleep feel touch said ooh drown night oh like one trust call back let know back let know could never say phone say phone never let go time ooh said ooh blind light sleep feel touch hey hey hey hey hey hey said ooh blind light sleep feel touch,yeah tryna call long enough maybe show love maybe going withdrawal even much turn touch baby look around sin city cold empty oh one around judge oh see clearly gone said ooh blinded light sleep feel touch said ooh drowning night oh like one trust hey hey hey running time cause see sun light sky hit road overdrive baby oh city cold empty oh one around judge oh see clearly gone said ooh blinded light sleep feel touch said ooh drowning night oh like one trust calling back let know back let know could never say phone say phone never let go time ooh said ooh blinded light sleep feel touch hey hey hey hey hey hey said ooh blinded light sleep feel touch
1,Dance Monkey,Tones And I,1194341955,1rgnBhdG2JDFTbYkYRZAku,say oh god see way shine take hands dear place mine know stopped dead passing beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody things say move move move ayy ayy ayy done make said oh god see walking take hands dear look eyes like monkey dancin whole life beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody things say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody things say move move move ayy ayy ayy done make ooh ooh ooh ooh ooh oh oh oh oh oh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah say dance dance dance oh oh oh never seen anybody things say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody things say move move move ayy ayy ayy done make,say oh god see way shine take hand dear place mine know stop dead pass beg see danc one time ooh see see see everi time oh like style make make make wanna cri beg see danc one time say danc danc danc oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make said oh god see walk take hand dear look eye like monkey dancin whole life beg see danc one time ooh see see see everi time oh like style make make make wanna cri beg see danc one time say danc danc danc oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make say danc danc danc oh oh oh oh oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make ooh ooh ooh ooh ooh oh oh oh oh oh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah say danc danc danc oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make say danc danc danc oh oh oh oh oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make,say oh god see way shine take hand dear place mine know stopped dead passing beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody thing say move move move ayy ayy ayy done make said oh god see walking take hand dear look eye like monkey dancin whole life beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody thing say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody thing say move move move ayy ayy ayy done make ooh ooh ooh ooh ooh oh oh oh oh oh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah say dance dance dance oh oh oh never seen anybody thing say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody thing say move move move ayy ayy ayy done make
2,The Box,Roddy Ricch,1045663988,0nbXyq5TXYPCO7pr3N8S4I,pullin coupe lot told em fuck fuck swat bustin bells box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deals trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know back stash cruise city bulletproof cadillac skrrt cause know niggas bag yeah gotta move smarter gotta move harder nigga try get water lay ass son daughter draco dwayne carter lotta niggas playin ballin done put whole arm rim vince carter yeah know probably get key quarter shawty barely seen double bought em got bitch looking like aaliyah model got pink slip whips key less compton get key city patek like sea forgive pullin coupe lot told em fuck fuck swat bustin bells box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deals trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know hah hahaha movin em steelo got blues pouch yeah took forest put wood mouth bitch wear shoes house private flyin never wan fly take chances traffic yeah suckin dick hands made rollie plain like landing strip president candidate done put hundred bands zimmerman shit movin real gangster picked crip shawty call crisco cause pop shit got mud nothin tell yeah drugs street wealthy yeah pullin coupe lot told em fuck fuck swat bustin bells box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deals trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know,pullin coup lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazi got mojo deal trappin like suck nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back realli wanna know back stash cruis citi bulletproof cadillac skrrt caus know nigga bag yeah gotta move smarter gotta move harder nigga tri get water lay ass son daughter draco dwayn carter lotta nigga playin ballin done put whole arm rim vinc carter yeah know probabl get key quarter shawti bare seen doubl bought em got bitch look like aaliyah model got pink slip whip key less compton get key citi patek like sea forgiv pullin coup lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazi got mojo deal trappin like suck nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back realli wanna know hah hahaha movin em steelo got blue pouch yeah took forest put wood mouth bitch wear shoe hous privat flyin never wan fli take chanc traffic yeah suckin dick hand made rolli plain like land strip presid candid done put hundr band zimmerman shit movin real gangster pick crip shawti call crisco caus pop shit got mud nothin tell yeah drug street wealthi yeah pullin coup lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazi got mojo deal trappin like suck nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back realli wanna know,pullin coupe lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deal trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know back stash cruise city bulletproof cadillac skrrt cause know nigga bag yeah gotta move smarter gotta move harder nigga try get water lay as son daughter draco dwayne carter lotta nigga playin ballin done put whole arm rim vince carter yeah know probably get key quarter shawty barely seen double bought em got bitch looking like aaliyah model got pink slip whip key le compton get key city patek like sea forgive pullin coupe lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deal trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know hah hahaha movin em steelo got blue pouch yeah took forest put wood mouth bitch wear shoe house private flyin never wan fly take chance traffic yeah suckin dick hand made rollie plain like landing strip president candidate done put hundred band zimmerman shit movin real gangster picked crip shawty call crisco cause pop shit got mud nothin tell yeah drug street wealthy yeah pullin coupe lot told em fuck fuck swat bustin bell box hit lick box put stick box mmh pour whole damn seal get lazy got mojo deal trappin like sucked nigga soul gotta cash app told em wipe nigga nose say slatt slatt never sell soul back really wanna know
3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",917851312,7ytR5pFWmSjzHJIeQkgog4,woo woo pull like pull baby pull oh oh oh pull pull woo let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promise gon squeeze woo better let go day need woo soon nigga get bustin woo enough go get chop safe say earned nigga gave nothin yeah yeah yeah ready hop nigga get bustin know heard say play lay make push button full pain dropped enough tears fill fuckin bucket goin buckets bought chopper got big drum hold hundred goin nothin ready air niggas see em runnin talked mama hit facetime check brother really baby know youngest son always guaranteed get money okay let go know baby boy always guaranteed get loot know know fore run nigga pull shoot boom ptsd always waking cold sweats like got flu daughter saw kill nigga front age two kill another nigga fore let another nigga somethin long know let nobody tell different daddy love yeah yeah let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promise gon squeeze woo better let go day need woo soon nigga get bustin woo yeah enough go get chop yeah yeah keep glocky ride suburban cause codeine young nigga swervin got mop watch wash em like detergent ballin diamonds jersey slide opps side flip block back yeah yeah junior popped left lopsided yeah yeah spin block got rebound dennis rodman fool one time cross twelve hundred horsepower get lost wind talkin yard pen dogs take chin maybach suv refugees buy blocks hood put money streets solo opps caught gas station thirty thousand thought last day even want smoke choose murder wrote let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promise gon squeeze woo better let go day need woo soon nigga get bustin woo enough go get chop,woo woo pull like pull babi pull oh oh oh pull pull woo let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promis gon squeez woo better let go day need woo soon nigga get bustin woo enough go get chop safe say earn nigga gave nothin yeah yeah yeah readi hop nigga get bustin know heard say play lay make push button full pain drop enough tear fill fuckin bucket goin bucket bought chopper got big drum hold hundr goin nothin readi air nigga see em runnin talk mama hit facetim check brother realli babi know youngest son alway guarante get money okay let go know babi boy alway guarante get loot know know fore run nigga pull shoot boom ptsd alway wake cold sweat like got flu daughter saw kill nigga front age two kill anoth nigga fore let anoth nigga somethin long know let nobodi tell differ daddi love yeah yeah let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promis gon squeez woo better let go day need woo soon nigga get bustin woo yeah enough go get chop yeah yeah keep glocki ride suburban caus codein young nigga swervin got mop watch wash em like deterg ballin diamond jersey slide opp side flip block back yeah yeah junior pop left lopsid yeah yeah spin block got rebound denni rodman fool one time cross twelv hundr horsepow get lost wind talkin yard pen dog take chin maybach suv refuge buy block hood put money street solo opp caught ga station thirti thousand thought last day even want smoke choos murder wrote let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promis gon squeez woo better let go day need woo soon nigga get bustin woo enough go get chop,woo woo pull like pull baby pull oh oh oh pull pull woo let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promise gon squeeze woo better let go day need woo soon nigga get bustin woo enough go get chop safe say earned nigga gave nothin yeah yeah yeah ready hop nigga get bustin know heard say play lay make push button full pain dropped enough tear fill fuckin bucket goin bucket bought chopper got big drum hold hundred goin nothin ready air nigga see em runnin talked mama hit facetime check brother really baby know youngest son always guaranteed get money okay let go know baby boy always guaranteed get loot know know fore run nigga pull shoot boom ptsd always waking cold sweat like got flu daughter saw kill nigga front age two kill another nigga fore let another nigga somethin long know let nobody tell different daddy love yeah yeah let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promise gon squeeze woo better let go day need woo soon nigga get bustin woo yeah enough go get chop yeah yeah keep glocky ride suburban cause codeine young nigga swervin got mop watch wash em like detergent ballin diamond jersey slide opps side flip block back yeah yeah junior popped left lopsided yeah yeah spin block got rebound dennis rodman fool one time cross twelve hundred horsepower get lost wind talkin yard pen dog take chin maybach suv refugee buy block hood put money street solo opps caught gas station thirty thousand thought last day even want smoke choose murder wrote let go brand new lamborghini fuck cop car pistol hip like cop yeah yeah yeah ever met real nigga rockstar yeah guitar bitch glock woo glock told promise gon squeeze woo better let go day need woo soon nigga get bustin woo enough go get chop
4,Watermelon Sugar,Harry Styles,852045823,6UelLqGlWMcVH1E5c4H7lY,tastes like strawberries summer evenin sounds like song want berries summer feelin wonderful warm breathe breathe know could ever go without thinking loud know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar strawberries summer evenin baby end june want belly summer feelin getting washed away breathe breathe know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high wanna taste wanna taste watermelon sugar high tastes like strawberries summer evenin sounds like song want belly summer feelin know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high sugar watermelon sugar high sugar watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high wanna taste wanna taste eh eh eh watermelon sugar high wanna taste wanna taste ooh yeah watermelon sugar high watermelon sugar,tast like strawberri summer evenin sound like song want berri summer feelin wonder warm breath breath know could ever go without think loud know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar strawberri summer evenin babi end june want belli summer feelin get wash away breath breath know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high wanna tast wanna tast watermelon sugar high tast like strawberri summer evenin sound like song want belli summer feelin know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high sugar watermelon sugar high sugar watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high wanna tast wanna tast eh eh eh watermelon sugar high wanna tast wanna tast ooh yeah watermelon sugar high watermelon sugar,taste like strawberry summer evenin sound like song want berry summer feelin wonderful warm breathe breathe know could ever go without thinking loud know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar strawberry summer evenin baby end june want belly summer feelin getting washed away breathe breathe know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high wanna taste wanna taste watermelon sugar high taste like strawberry summer evenin sound like song want belly summer feelin know could ever go without watermelon sugar high watermelon sugar high watermelon sugar high sugar watermelon sugar high sugar watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high wanna taste wanna taste eh eh eh watermelon sugar high wanna taste wanna taste ooh yeah watermelon sugar high watermelon sugar
5,death bed (coffee for your head),"Powfu, beabadoobee",796642410,7eJMfftS33KTjuF7lTsMCx,stay awake long go bed make cup coffee head get going bed yeah wanna fall asleep wanna pass away thinking future cause never see days know happened probably deserve tried best know perfect praying forgiveness praying health leave earth hopin find someone else cause yeah still young much done getting married start family watch husband son wish could make bed hope go heaven see life kinda short got many blessings happy mine sucks ending stay awake long go bed make cup coffee head get going bed yeah ayy stay awake long go bed make cup coffee head get going bed ayy yeah happy sorry tear younger would always make cheer taking goofy videos walking park would jump arms every time heard bark cuddle sheets sing sound asleep sneak kitchen exactly sundays went church mondays watched movie soon alone sorry lose stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed,stay awak long go bed make cup coffe head get go bed yeah wanna fall asleep wanna pass away think futur caus never see day know happen probabl deserv tri best know perfect pray forgiv pray health leav earth hopin find someon els caus yeah still young much done get marri start famili watch husband son wish could make bed hope go heaven see life kinda short got mani bless happi mine suck end stay awak long go bed make cup coffe head get go bed yeah ayi stay awak long go bed make cup coffe head get go bed ayi yeah happi sorri tear younger would alway make cheer take goofi video walk park would jump arm everi time heard bark cuddl sheet sing sound asleep sneak kitchen exactli sunday went church monday watch movi soon alon sorri lose stay awak long go bed make cup coffe head get go bed stay awak long go bed make cup coffe head get go bed stay awak long go bed make cup coffe head get go bed stay awak long go bed make cup coffe head get go bed stay awak long go bed make cup coffe head get go bed,stay awake long go bed make cup coffee head get going bed yeah wanna fall asleep wanna pas away thinking future cause never see day know happened probably deserve tried best know perfect praying forgiveness praying health leave earth hopin find someone else cause yeah still young much done getting married start family watch husband son wish could make bed hope go heaven see life kinda short got many blessing happy mine suck ending stay awake long go bed make cup coffee head get going bed yeah ayy stay awake long go bed make cup coffee head get going bed ayy yeah happy sorry tear younger would always make cheer taking goofy video walking park would jump arm every time heard bark cuddle sheet sing sound asleep sneak kitchen exactly sunday went church monday watched movie soon alone sorry lose stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed stay awake long go bed make cup coffee head get going bed
6,Someone You Loved,Lewis Capaldi,789241152,7qEHsqek33rTcFNT9PFqLf,going time fear one save nothing really got way driving crazy need somebody hear somebody know somebody somebody hold easy say never guess kinda liked way numbed pain day bleeds nightfall get let guard pulled rug getting kinda used someone loved going time fear one turn nothing way loving got sleeping without need somebody know somebody hear somebody know feels easy say never guess kinda like way help escape day bleeds nightfall get let guard pulled rug getting kinda used someone loved tend close eyes hurts sometimes fall arms safe sound till come back around day bleeds nightfall get let guard pulled rug getting kinda used someone loved day bleeds nightfall get let guard pulled rug getting kinda used someone loved let guard pulled rug getting kinda used someone loved,go time fear one save noth realli got way drive crazi need somebodi hear somebodi know somebodi somebodi hold easi say never guess kinda like way numb pain day bleed nightfal get let guard pull rug get kinda use someon love go time fear one turn noth way love got sleep without need somebodi know somebodi hear somebodi know feel easi say never guess kinda like way help escap day bleed nightfal get let guard pull rug get kinda use someon love tend close eye hurt sometim fall arm safe sound till come back around day bleed nightfal get let guard pull rug get kinda use someon love day bleed nightfal get let guard pull rug get kinda use someon love let guard pull rug get kinda use someon love,going time fear one save nothing really got way driving crazy need somebody hear somebody know somebody somebody hold easy say never guess kinda liked way numbed pain day bleeds nightfall get let guard pulled rug getting kinda used someone loved going time fear one turn nothing way loving got sleeping without need somebody know somebody hear somebody know feel easy say never guess kinda like way help escape day bleeds nightfall get let guard pulled rug getting kinda used someone loved tend close eye hurt sometimes fall arm safe sound till come back around day bleeds nightfall get let guard pulled rug getting kinda used someone loved day bleeds nightfall get let guard pulled rug getting kinda used someone loved let guard pulled rug getting kinda used someone loved
8,Roses - Imanbek Remix,"SAINt JHN, Imanbek",722560046,24Yi9hE78yPEbZ4kxyoXAI,roses walked corner body screaming dolo never sold bag look like pablo photo gon make em feel way like tony killed manolo already know though already know though walk corner money finger might get popping might wife winter already know already know nigga roses need roses turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna know tell nobody nothing know tell nobody roses might pull flexing niggas like aerobics might tell girl cute balling shit gorgeous standing table rose rose fuck waters know god turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna roses walked corner body screaming dolo never sold bag look like pablo photo gon make em feel way like tony killed manolo already know though already know though walk corner money finger might get popping might wife winter already know already know nigga roses need roses turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna know tell nobody nothing know tell nobody roses might pull flexing niggas like aerobics might tell girl cute balling shit gorgeous standing table rose rose fuck waters know god turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna,rose walk corner bodi scream dolo never sold bag look like pablo photo gon make em feel way like toni kill manolo alreadi know though alreadi know though walk corner money finger might get pop might wife winter alreadi know alreadi know nigga rose need rose turn babi turn turn know get lit turn handl behavior turn fast never ask life last done fuck nigga raw wanna know tell nobodi noth know tell nobodi rose might pull flex nigga like aerob might tell girl cute ball shit gorgeou stand tabl rose rose fuck water know god turn babi turn turn know get lit turn handl behavior turn fast never ask life last done fuck nigga raw wanna rose walk corner bodi scream dolo never sold bag look like pablo photo gon make em feel way like toni kill manolo alreadi know though alreadi know though walk corner money finger might get pop might wife winter alreadi know alreadi know nigga rose need rose turn babi turn turn know get lit turn handl behavior turn fast never ask life last done fuck nigga raw wanna know tell nobodi noth know tell nobodi rose might pull flex nigga like aerob might tell girl cute ball shit gorgeou stand tabl rose rose fuck water know god turn babi turn turn know get lit turn handl behavior turn fast never ask life last done fuck nigga raw wanna,rose walked corner body screaming dolo never sold bag look like pablo photo gon make em feel way like tony killed manolo already know though already know though walk corner money finger might get popping might wife winter already know already know nigga rose need rose turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna know tell nobody nothing know tell nobody rose might pull flexing nigga like aerobics might tell girl cute balling shit gorgeous standing table rose rose fuck water know god turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna rose walked corner body screaming dolo never sold bag look like pablo photo gon make em feel way like tony killed manolo already know though already know though walk corner money finger might get popping might wife winter already know already know nigga rose need rose turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna know tell nobody nothing know tell nobody rose might pull flexing nigga like aerobics might tell girl cute balling shit gorgeous standing table rose rose fuck water know god turn baby turn turn know get lit turn handle behavior turn fast never ask life last done fuck nigga raw wanna
9,Circles,Post Malone,694201081,21jGcNKet2qwijlDFuPiPb,oh oh oh oh oh oh oh oh oh oh oh turn around til upside bad guy know proud even tried believe every time seasons change love went cold feed flame cause let go run away running circles run away run away dare something waiting take blame run away running circles run away run away run away let go got feeling time let go said knew doomed get go thought special special sex though sex though still hear echoes echoes got feeling time let go let go seasons change love went cold feed flame cause let go run away running circles run away run away dare something waiting take blame run away running circles run away run away run away maybe understand going got lose make mind tell gonna let go seasons change love went cold feed flame cause let go run away running circles run away run away dare something waiting take blame run away running circles run away run away run away,oh oh oh oh oh oh oh oh oh oh oh turn around til upsid bad guy know proud even tri believ everi time season chang love went cold feed flame caus let go run away run circl run away run away dare someth wait take blame run away run circl run away run away run away let go got feel time let go said knew doom get go thought special special sex though sex though still hear echo echo got feel time let go let go season chang love went cold feed flame caus let go run away run circl run away run away dare someth wait take blame run away run circl run away run away run away mayb understand go got lose make mind tell gonna let go season chang love went cold feed flame caus let go run away run circl run away run away dare someth wait take blame run away run circl run away run away run away,oh oh oh oh oh oh oh oh oh oh oh turn around til upside bad guy know proud even tried believe every time season change love went cold feed flame cause let go run away running circle run away run away dare something waiting take blame run away running circle run away run away run away let go got feeling time let go said knew doomed get go thought special special sex though sex though still hear echo echo got feeling time let go let go season change love went cold feed flame cause let go run away running circle run away run away dare something waiting take blame run away running circle run away run away run away maybe understand going got lose make mind tell gonna let go season change love went cold feed flame cause let go run away running circle run away run away dare something waiting take blame run away running circle run away run away run away
10,ROXANNE,Arizona Zervas,691824339,696DnlkuDOXcMAnKlTgXXK,gram bitches love gram oh wait shit brr brr ayy yeah yeah yeah ayy brr brr brr ayy skrrt skrrt need brakes yeah roxanne roxanne wanna party night goddamn roxanne never gonna love alright think asshole think player keep running back though cause pay roxanne roxanne wanna party night met party hills yeah wanna thrill yeah shorty drive poodle top top top throw money gon drop ayy wait lines long drive whip unless roof wanna call cash take pic ass malibu uh malibu got foreign laugh uh malibu uh malibu spending daddy money attitude roxanne roxanne roxanne roxanne wanna party night goddamn goddamn roxanne roxanne never gonna love alright think asshole think player keep running back though cause pay roxanne roxanne roxanne roxanne wanna party night wanna fun la yeah got brakes yeah living fast ricky bobby shake bake yeah see chain yeah issa lake yeah swipe chase ooh wanna date yeah straight nobu coast ooh shorty like cocaine whole foods yeah snappin gram ass going crazy woo wanna fuck foreign goin malibu uh malibu got foreign laugh uh malibu uh malibu spending daddy money attitude roxanne roxanne roxanne roxanne wanna party night night yeah goddamn goddamn roxanne roxanne never gonna love alright alright yeah think asshole think player keep running back though cause pay roxanne roxanne roxanne roxanne wanna party night,gram bitch love gram oh wait shit brr brr ayi yeah yeah yeah ayi brr brr brr ayi skrrt skrrt need brake yeah roxann roxann wanna parti night goddamn roxann never gonna love alright think asshol think player keep run back though caus pay roxann roxann wanna parti night met parti hill yeah wanna thrill yeah shorti drive poodl top top top throw money gon drop ayi wait line long drive whip unless roof wanna call cash take pic ass malibu uh malibu got foreign laugh uh malibu uh malibu spend daddi money attitud roxann roxann roxann roxann wanna parti night goddamn goddamn roxann roxann never gonna love alright think asshol think player keep run back though caus pay roxann roxann roxann roxann wanna parti night wanna fun la yeah got brake yeah live fast ricki bobbi shake bake yeah see chain yeah issa lake yeah swipe chase ooh wanna date yeah straight nobu coast ooh shorti like cocain whole food yeah snappin gram ass go crazi woo wanna fuck foreign goin malibu uh malibu got foreign laugh uh malibu uh malibu spend daddi money attitud roxann roxann roxann roxann wanna parti night night yeah goddamn goddamn roxann roxann never gonna love alright alright yeah think asshol think player keep run back though caus pay roxann roxann roxann roxann wanna parti night,gram bitch love gram oh wait shit brr brr ayy yeah yeah yeah ayy brr brr brr ayy skrrt skrrt need brake yeah roxanne roxanne wanna party night goddamn roxanne never gonna love alright think asshole think player keep running back though cause pay roxanne roxanne wanna party night met party hill yeah wanna thrill yeah shorty drive poodle top top top throw money gon drop ayy wait line long drive whip unless roof wanna call cash take pic as malibu uh malibu got foreign laugh uh malibu uh malibu spending daddy money attitude roxanne roxanne roxanne roxanne wanna party night goddamn goddamn roxanne roxanne never gonna love alright think asshole think player keep running back though cause pay roxanne roxanne roxanne roxanne wanna party night wanna fun la yeah got brake yeah living fast ricky bobby shake bake yeah see chain yeah issa lake yeah swipe chase ooh wanna date yeah straight nobu coast ooh shorty like cocaine whole food yeah snappin gram as going crazy woo wanna fuck foreign goin malibu uh malibu got foreign laugh uh malibu uh malibu spending daddy money attitude roxanne roxanne roxanne roxanne wanna party night night yeah goddamn goddamn roxanne roxanne never gonna love alright alright yeah think asshole think player keep running back though cause pay roxanne roxanne roxanne roxanne wanna party night
