,track_name,artist,streams,uid,cleaned_lyrics,stemmed_lyrics,lemmatized_lyrics
0,bad guy,Billie Eilish,1072582834,2Fxmhks0bxGSBdJ92vM42m,white shirt red bloody nose sleepin tippy toes creepin around like one knows think criminal bruises knees say thank please want wanting soul cynical tough guy like really rough guy get enough guy chest always puffed guy bad type make mama sad type make girlfriend mad tight might seduce dad type bad guy duh bad guy like take control even know let play role animal mommy likes sing along sing song reads lyrics pity men know tough guy like really rough guy get enough guy chest always puffed guy bad type make mama sad type make girlfriend mad tight might seduce dad type bad guy duh bad guy duh good bein bad bad like get mad guess pretty glad alone said scared mean see sees maybe cause wearing cologne bad guy bad guy bad guy bad guy bad,white shirt red bloodi nose sleepin tippi toe creepin around like one know think crimin bruis knee say thank pleas want want soul cynic tough guy like realli rough guy get enough guy chest alway puf guy bad type make mama sad type make girlfriend mad tight might seduc dad type bad guy duh bad guy like take control even know let play role anim mommi like sing along sing song read lyric piti men know tough guy like realli rough guy get enough guy chest alway puf guy bad type make mama sad type make girlfriend mad tight might seduc dad type bad guy duh bad guy duh good bein bad bad like get mad guess pretti glad alon said scare mean see see mayb caus wear cologn bad guy bad guy bad guy bad guy bad,white shirt red bloody nose sleepin tippy toe creepin around like one know think criminal bruise knee say thank please want wanting soul cynical tough guy like really rough guy get enough guy chest always puffed guy bad type make mama sad type make girlfriend mad tight might seduce dad type bad guy duh bad guy like take control even know let play role animal mommy like sing along sing song read lyric pity men know tough guy like really rough guy get enough guy chest always puffed guy bad type make mama sad type make girlfriend mad tight might seduce dad type bad guy duh bad guy duh good bein bad bad like get mad guess pretty glad alone said scared mean see see maybe cause wearing cologne bad guy bad guy bad guy bad guy bad
1,7 rings,Ariana Grande,801570133,6ocbgoVGwYJhOv1GgI9NsF,yeah breakfast tiffany bottles bubbles girls tattoos like getting trouble lashes diamonds atm machines buy favorite things yeah bad shit sad bitch woulda thought turn savage rather tied calls strings write checks like write sing yeah yeah wrist stop watchin neck flossy make big deposits gloss poppin like hair gee thanks bought see like want got yeah want got want got want got want got like hair gee thanks bought see like want got yep wearing ring gon mrs bought matching diamonds six bitches rather spoil friends riches think retail therapy new addiction whoever said money solve problems must enough money solve em say one say nah want em happiness price red bottoms smile beamin yeah skin gleamin gleamin way shine know seen seen bought crib closet closet want got yeah want got want got want got want got baby like hair gee thanks bought oh yeah see like want got yep yeah receipts lookin like phone numbers money wrong number black card business card way settin tone mean brag like put bag yeah see racks stacked like ass yeah shoot go store booth make back one loop gimme loot never mind got juice nothing net shoot look neck look jet got enough money pay respect budget set like get yeah want got want got oh yeah want got want got oh yeah yeah like hair gee thanks bought see like want got see yep,yeah breakfast tiffani bottl bubbl girl tattoo like get troubl lash diamond atm machin buy favorit thing yeah bad shit sad bitch woulda thought turn savag rather tie call string write check like write sing yeah yeah wrist stop watchin neck flossi make big deposit gloss poppin like hair gee thank bought see like want got yeah want got want got want got want got like hair gee thank bought see like want got yep wear ring gon mr bought match diamond six bitch rather spoil friend rich think retail therapi new addict whoever said money solv problem must enough money solv em say one say nah want em happi price red bottom smile beamin yeah skin gleamin gleamin way shine know seen seen bought crib closet closet want got yeah want got want got want got want got babi like hair gee thank bought oh yeah see like want got yep yeah receipt lookin like phone number money wrong number black card busi card way settin tone mean brag like put bag yeah see rack stack like ass yeah shoot go store booth make back one loop gimm loot never mind got juic noth net shoot look neck look jet got enough money pay respect budget set like get yeah want got want got oh yeah want got want got oh yeah yeah like hair gee thank bought see like want got see yep,yeah breakfast tiffany bottle bubble girl tattoo like getting trouble lash diamond atm machine buy favorite thing yeah bad shit sad bitch woulda thought turn savage rather tied call string write check like write sing yeah yeah wrist stop watchin neck flossy make big deposit gloss poppin like hair gee thanks bought see like want got yeah want got want got want got want got like hair gee thanks bought see like want got yep wearing ring gon mr bought matching diamond six bitch rather spoil friend rich think retail therapy new addiction whoever said money solve problem must enough money solve em say one say nah want em happiness price red bottom smile beamin yeah skin gleamin gleamin way shine know seen seen bought crib closet closet want got yeah want got want got want got want got baby like hair gee thanks bought oh yeah see like want got yep yeah receipt lookin like phone number money wrong number black card business card way settin tone mean brag like put bag yeah see rack stacked like as yeah shoot go store booth make back one loop gimme loot never mind got juice nothing net shoot look neck look jet got enough money pay respect budget set like get yeah want got want got oh yeah want got want got oh yeah yeah like hair gee thanks bought see like want got see yep
2,Dance Monkey,Tones And I,795536724,1rgnBhdG2JDFTbYkYRZAku,say oh god see way shine take hands dear place mine know stopped dead passing beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody things say move move move ayy ayy ayy done make said oh god see walking take hands dear look eyes like monkey dancin whole life beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody things say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody things say move move move ayy ayy ayy done make ooh ooh ooh ooh ooh oh oh oh oh oh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah say dance dance dance oh oh oh never seen anybody things say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody things say move move move ayy ayy ayy done make,say oh god see way shine take hand dear place mine know stop dead pass beg see danc one time ooh see see see everi time oh like style make make make wanna cri beg see danc one time say danc danc danc oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make said oh god see walk take hand dear look eye like monkey dancin whole life beg see danc one time ooh see see see everi time oh like style make make make wanna cri beg see danc one time say danc danc danc oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make say danc danc danc oh oh oh oh oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make ooh ooh ooh ooh ooh oh oh oh oh oh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah say danc danc danc oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make say danc danc danc oh oh oh oh oh oh oh never seen anybodi thing say move move move ayi ayi ayi done make,say oh god see way shine take hand dear place mine know stopped dead passing beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody thing say move move move ayy ayy ayy done make said oh god see walking take hand dear look eye like monkey dancin whole life beg see dance one time ooh see see see every time oh like style make make make wanna cry beg see dance one time say dance dance dance oh oh oh never seen anybody thing say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody thing say move move move ayy ayy ayy done make ooh ooh ooh ooh ooh oh oh oh oh oh ooh ooh ooh ooh ooh ooh ooh ah ah ah ah say dance dance dance oh oh oh never seen anybody thing say move move move ayy ayy ayy done make say dance dance dance oh oh oh oh oh oh oh never seen anybody thing say move move move ayy ayy ayy done make
3,Señorita,"Shawn Mendes, Camila Cabello",780956851,6v3KW9xbzN5yKLt9YKDYA2,love call senorita wish could pretend need ya every touch ooh la la la true la la la ooh runnin ooh keep coming ya land miami air hot summer rain sweat drippin even knew name la la la felt like ooh la la la yeah sapphire moonlight danced hours sand tequila sunrise body fit right hands la la la felt like ooh la la la yeah love call senorita wish could pretend need ya every touch ooh la la la true la la la ooh runnin ooh know love call senorita wish damn hard leave ya every touch ooh la la la true la la la ooh runnin ooh keep coming ya locked hotel things never change say friends friends know way taste la la la la la la cause know long time coming ya let fall oh ooh lips undress hooked tongue ooh love kiss deadly stop love call senorita wish could pretend need ya every touch ooh la la la true la la la ooh runnin ooh know love call senorita wish damn hard leave ya damn hard leave ya every touch ooh la la la true la la la true la la ooh runnin ooh keep coming ya along coming ya hope meant something oh call name coming ya coming coming ya coming ya ya oh loves call ya ooh runnin ooh keep coming ya,love call senorita wish could pretend need ya everi touch ooh la la la true la la la ooh runnin ooh keep come ya land miami air hot summer rain sweat drippin even knew name la la la felt like ooh la la la yeah sapphir moonlight danc hour sand tequila sunris bodi fit right hand la la la felt like ooh la la la yeah love call senorita wish could pretend need ya everi touch ooh la la la true la la la ooh runnin ooh know love call senorita wish damn hard leav ya everi touch ooh la la la true la la la ooh runnin ooh keep come ya lock hotel thing never chang say friend friend know way tast la la la la la la caus know long time come ya let fall oh ooh lip undress hook tongu ooh love kiss deadli stop love call senorita wish could pretend need ya everi touch ooh la la la true la la la ooh runnin ooh know love call senorita wish damn hard leav ya damn hard leav ya everi touch ooh la la la true la la la true la la ooh runnin ooh keep come ya along come ya hope meant someth oh call name come ya come come ya come ya ya oh love call ya ooh runnin ooh keep come ya,love call senorita wish could pretend need ya every touch ooh la la la true la la la ooh runnin ooh keep coming ya land miami air hot summer rain sweat drippin even knew name la la la felt like ooh la la la yeah sapphire moonlight danced hour sand tequila sunrise body fit right hand la la la felt like ooh la la la yeah love call senorita wish could pretend need ya every touch ooh la la la true la la la ooh runnin ooh know love call senorita wish damn hard leave ya every touch ooh la la la true la la la ooh runnin ooh keep coming ya locked hotel thing never change say friend friend know way taste la la la la la la cause know long time coming ya let fall oh ooh lip undress hooked tongue ooh love kiss deadly stop love call senorita wish could pretend need ya every touch ooh la la la true la la la ooh runnin ooh know love call senorita wish damn hard leave ya damn hard leave ya every touch ooh la la la true la la la true la la ooh runnin ooh keep coming ya along coming ya hope meant something oh call name coming ya coming coming ya coming ya ya oh love call ya ooh runnin ooh keep coming ya
5,Shallow,"Lady Gaga, Bradley Cooper",723325027,2VxeLyX666F8uXCJ0dZF8B,tell somethin girl happy modern world need somethin else searchin fallin good times find longing change bad times fear tell something boy tired tryna fill void need hard keepin hardcore falling good times find longing change bad times fear deep end watch dive never meet ground crash surface hurt us far shallow sha ha sha hallow sha ha sha la la la low sha ha sha hallow far shallow oh ha ah ha oh ah ha deep end watch dive never meet ground crash surface hurt us far shallow sha ha shallow sha ha sha la la la low sha ha shallow far shallow,tell somethin girl happi modern world need somethin els searchin fallin good time find long chang bad time fear tell someth boy tire tryna fill void need hard keepin hardcor fall good time find long chang bad time fear deep end watch dive never meet ground crash surfac hurt us far shallow sha ha sha hallow sha ha sha la la la low sha ha sha hallow far shallow oh ha ah ha oh ah ha deep end watch dive never meet ground crash surfac hurt us far shallow sha ha shallow sha ha sha la la la low sha ha shallow far shallow,tell somethin girl happy modern world need somethin else searchin fallin good time find longing change bad time fear tell something boy tired tryna fill void need hard keepin hardcore falling good time find longing change bad time fear deep end watch dive never meet ground crash surface hurt u far shallow sha ha sha hallow sha ha sha la la la low sha ha sha hallow far shallow oh ha ah ha oh ah ha deep end watch dive never meet ground crash surface hurt u far shallow sha ha shallow sha ha sha la la la low sha ha shallow far shallow
7,Someone You Loved,Lewis Capaldi,682338495,7qEHsqek33rTcFNT9PFqLf,going time fear one save nothing really got way driving crazy need somebody hear somebody know somebody somebody hold easy say never guess kinda liked way numbed pain day bleeds nightfall get let guard pulled rug getting kinda used someone loved going time fear one turn nothing way loving got sleeping without need somebody know somebody hear somebody know feels easy say never guess kinda like way help escape day bleeds nightfall get let guard pulled rug getting kinda used someone loved tend close eyes hurts sometimes fall arms safe sound till come back around day bleeds nightfall get let guard pulled rug getting kinda used someone loved day bleeds nightfall get let guard pulled rug getting kinda used someone loved let guard pulled rug getting kinda used someone loved,go time fear one save noth realli got way drive crazi need somebodi hear somebodi know somebodi somebodi hold easi say never guess kinda like way numb pain day bleed nightfal get let guard pull rug get kinda use someon love go time fear one turn noth way love got sleep without need somebodi know somebodi hear somebodi know feel easi say never guess kinda like way help escap day bleed nightfal get let guard pull rug get kinda use someon love tend close eye hurt sometim fall arm safe sound till come back around day bleed nightfal get let guard pull rug get kinda use someon love day bleed nightfal get let guard pull rug get kinda use someon love let guard pull rug get kinda use someon love,going time fear one save nothing really got way driving crazy need somebody hear somebody know somebody somebody hold easy say never guess kinda liked way numbed pain day bleeds nightfall get let guard pulled rug getting kinda used someone loved going time fear one turn nothing way loving got sleeping without need somebody know somebody hear somebody know feel easy say never guess kinda like way help escape day bleeds nightfall get let guard pulled rug getting kinda used someone loved tend close eye hurt sometimes fall arm safe sound till come back around day bleeds nightfall get let guard pulled rug getting kinda used someone loved day bleeds nightfall get let guard pulled rug getting kinda used someone loved let guard pulled rug getting kinda used someone loved
8,Happier,"Marshmello, Bastille",623888002,2dpaYNEQHiRxtZbfNsse99,lately thinking want happier want happier morning comes see become cold light day flame wind fire begun every argument every word take back cause happened think know way story ends minute want change mind cause feel right wanna raise spirits want see smile know means leave know means leave lately thinking want happier want happier evening falls left thoughts image someone else well eating inside ran course pretended okay jump together least swim far away wreck made minute want change mind cause feel right wanna raise spirits want see smile know means leave know means leave lately thinking want happier want happier go go go go go go go go go go lately thinking want happier want happier even though might like think happier want happier minute minute want change mind cause feel right right wanna raise spirits wanna raise spirits want see smile know means leave know means leave lately thinking want happier want happier go go go go go,late think want happier want happier morn come see becom cold light day flame wind fire begun everi argument everi word take back caus happen think know way stori end minut want chang mind caus feel right wanna rais spirit want see smile know mean leav know mean leav late think want happier want happier even fall left thought imag someon els well eat insid ran cours pretend okay jump togeth least swim far away wreck made minut want chang mind caus feel right wanna rais spirit want see smile know mean leav know mean leav late think want happier want happier go go go go go go go go go go late think want happier want happier even though might like think happier want happier minut minut want chang mind caus feel right right wanna rais spirit wanna rais spirit want see smile know mean leav know mean leav late think want happier want happier go go go go go,lately thinking want happier want happier morning come see become cold light day flame wind fire begun every argument every word take back cause happened think know way story end minute want change mind cause feel right wanna raise spirit want see smile know mean leave know mean leave lately thinking want happier want happier evening fall left thought image someone else well eating inside ran course pretended okay jump together least swim far away wreck made minute want change mind cause feel right wanna raise spirit want see smile know mean leave know mean leave lately thinking want happier want happier go go go go go go go go go go lately thinking want happier want happier even though might like think happier want happier minute minute want change mind cause feel right right wanna raise spirit wanna raise spirit want see smile know mean leave know mean leave lately thinking want happier want happier go go go go go
9,Wow.,Post Malone,614384365,6MWtB6iiXyIwun0YzU6DFP,said tired little money need big boy pull inch blades like lil troy everybody flockin need decoy shawty mixing vodka lacroix yeah wagen wagen wagen wagen housewives pullin got lot toys bumpin fall boy talkin shit beginning mm mm back feelin forgivin forgivin know piss see winnin see winnin see igloo mouth grinnin grinnin yeah hunnid bands pocket hunnid deep roll like army get bottles bottles lonely moment show got em sayin wow wow wow hunnid bands pocket yeah grandmama probably know know get bottles bottles lonely moment show got em sayin wow wow wow everywhere go hey catch block like mutombo wow lambo utah snow skrrt trunk front like shit dumbo yeah cut roof like nip tuck pull house big butts turn kitchen counter strip club yeah wow dre came got guap appeared wow dropped stoney none really cared cared always say congratulations kid kid pourin shit yeah used lot got yup made another hit cause got bored yup always goin never punt fourth last call hail mary prescott touchdown ayy hunnid bands pocket hunnid deep roll like army hey get bottles bottles lonely moment show got em sayin wow wow wow hunnid bands pocket yeah yeah yeah grandmama probably know yeah yeah get bottles bottles lonely moment show got em sayin wow got em sayin wow ayy ayy wow sayin wow wow wow,said tire littl money need big boy pull inch blade like lil troy everybodi flockin need decoy shawti mix vodka lacroix yeah wagen wagen wagen wagen housew pullin got lot toy bumpin fall boy talkin shit begin mm mm back feelin forgivin forgivin know piss see winnin see winnin see igloo mouth grinnin grinnin yeah hunnid band pocket hunnid deep roll like armi get bottl bottl lone moment show got em sayin wow wow wow hunnid band pocket yeah grandmama probabl know know get bottl bottl lone moment show got em sayin wow wow wow everywher go hey catch block like mutombo wow lambo utah snow skrrt trunk front like shit dumbo yeah cut roof like nip tuck pull hous big butt turn kitchen counter strip club yeah wow dre came got guap appear wow drop stoney none realli care care alway say congratul kid kid pourin shit yeah use lot got yup made anoth hit caus got bore yup alway goin never punt fourth last call hail mari prescott touchdown ayi hunnid band pocket hunnid deep roll like armi hey get bottl bottl lone moment show got em sayin wow wow wow hunnid band pocket yeah yeah yeah grandmama probabl know yeah yeah get bottl bottl lone moment show got em sayin wow got em sayin wow ayi ayi wow sayin wow wow wow,said tired little money need big boy pull inch blade like lil troy everybody flockin need decoy shawty mixing vodka lacroix yeah wagen wagen wagen wagen housewife pullin got lot toy bumpin fall boy talkin shit beginning mm mm back feelin forgivin forgivin know piss see winnin see winnin see igloo mouth grinnin grinnin yeah hunnid band pocket hunnid deep roll like army get bottle bottle lonely moment show got em sayin wow wow wow hunnid band pocket yeah grandmama probably know know get bottle bottle lonely moment show got em sayin wow wow wow everywhere go hey catch block like mutombo wow lambo utah snow skrrt trunk front like shit dumbo yeah cut roof like nip tuck pull house big butt turn kitchen counter strip club yeah wow dre came got guap appeared wow dropped stoney none really cared cared always say congratulation kid kid pourin shit yeah used lot got yup made another hit cause got bored yup always goin never punt fourth last call hail mary prescott touchdown ayy hunnid band pocket hunnid deep roll like army hey get bottle bottle lonely moment show got em sayin wow wow wow hunnid band pocket yeah yeah yeah grandmama probably know yeah yeah get bottle bottle lonely moment show got em sayin wow got em sayin wow ayy ayy wow sayin wow wow wow
10,Without Me,Halsey,609295406,5p7ujcrUXASCNwRaWNHR1C,found heart broke filled cup overflowed took far keep close keep close afraid leave ooh said catch fall fall laugh fuck em got knees put right back feet could take advantage tell feel sittin feelin high far away hold know one put name sky ever get lonely thinkin could live without thinkin could live without baby one put know yeah know thinkin could live without live without baby one put know know yeah yeah gave love bout hundred tries hundred tries runnin demons mind took made em mine mine notice cause love blind said catch fall fall laugh fuck em got knees put right back feet could take advantage tell feel sittin feelin high far away hold know one put name sky ever get lonely thinkin could live without thinkin could live without baby one put know yeah know thinkin could live without live without baby one put know yeah say already know know go find oh woah tell feel oh woah tell feel sittin feelin high far away hold know one put name sky ever get lonely thinkin could live without thinkin could live without baby one put know yeah know,found heart broke fill cup overflow took far keep close keep close afraid leav ooh said catch fall fall laugh fuck em got knee put right back feet could take advantag tell feel sittin feelin high far away hold know one put name sky ever get lone thinkin could live without thinkin could live without babi one put know yeah know thinkin could live without live without babi one put know know yeah yeah gave love bout hundr tri hundr tri runnin demon mind took made em mine mine notic caus love blind said catch fall fall laugh fuck em got knee put right back feet could take advantag tell feel sittin feelin high far away hold know one put name sky ever get lone thinkin could live without thinkin could live without babi one put know yeah know thinkin could live without live without babi one put know yeah say alreadi know know go find oh woah tell feel oh woah tell feel sittin feelin high far away hold know one put name sky ever get lone thinkin could live without thinkin could live without babi one put know yeah know,found heart broke filled cup overflowed took far keep close keep close afraid leave ooh said catch fall fall laugh fuck em got knee put right back foot could take advantage tell feel sittin feelin high far away hold know one put name sky ever get lonely thinkin could live without thinkin could live without baby one put know yeah know thinkin could live without live without baby one put know know yeah yeah gave love bout hundred try hundred try runnin demon mind took made em mine mine notice cause love blind said catch fall fall laugh fuck em got knee put right back foot could take advantage tell feel sittin feelin high far away hold know one put name sky ever get lonely thinkin could live without thinkin could live without baby one put know yeah know thinkin could live without live without baby one put know yeah say already know know go find oh woah tell feel oh woah tell feel sittin feelin high far away hold know one put name sky ever get lonely thinkin could live without thinkin could live without baby one put know yeah know
12,Sweet but Psycho,Ava Max,588323300,25sgk305KZfyuqVBQIahim,oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind make curse blessing rip shirt within second coming back back seconds plate help play alo ong let lead saying saying yes yes yes cause messin head oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazy poison tasty yeah people say run walk away cause sweet psycho little bit psycho night screamin mind see someone said drink potions kiss neck emotion mean know love tastes sweet sugarcoat play alo ong let lead saying saying yes yes yes cause messin head oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazy poison tasty yeah people say run walk away cause sweet psycho little bit psycho night screamin mind like mind know strange crazy kind tellin insane boy pretend love pain oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazy poison tasty yeah people say run walk away cause sweet psycho little bit psycho night screamin mind,oh sweet psycho littl bit psycho night screamin mind oh hot psycho left right though night screamin mind make curs bless rip shirt within second come back back second plate help play alo ong let lead say say ye ye ye caus messin head oh sweet psycho littl bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazi poison tasti yeah peopl say run walk away caus sweet psycho littl bit psycho night screamin mind see someon said drink potion kiss neck emot mean know love tast sweet sugarcoat play alo ong let lead say say ye ye ye caus messin head oh sweet psycho littl bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazi poison tasti yeah peopl say run walk away caus sweet psycho littl bit psycho night screamin mind like mind know strang crazi kind tellin insan boy pretend love pain oh sweet psycho littl bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazi poison tasti yeah peopl say run walk away caus sweet psycho littl bit psycho night screamin mind,oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind make curse blessing rip shirt within second coming back back second plate help play alo ong let lead saying saying yes yes yes cause messin head oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazy poison tasty yeah people say run walk away cause sweet psycho little bit psycho night screamin mind see someone said drink potion kiss neck emotion mean know love taste sweet sugarcoat play alo ong let lead saying saying yes yes yes cause messin head oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazy poison tasty yeah people say run walk away cause sweet psycho little bit psycho night screamin mind like mind know strange crazy kind tellin insane boy pretend love pain oh sweet psycho little bit psycho night screamin mind oh hot psycho left right though night screamin mind grab cop gun kinda crazy poison tasty yeah people say run walk away cause sweet psycho little bit psycho night screamin mind
