words,2020
aa,1
aaa,1
aah,1
aaliyah,1
abandon,1
abandoned,1
abducted,1
ablaze,1
able,1
aboard,1
abortion,2
abracadabra,1
abroad,1
absent,1
absolute,2
absolutely,1
abti,1
aburre,1
abuse,3
aca,1
accent,7
accept,6
acceptin,1
access,2
accident,3
accidentally,1
accomplice,1
accomplishment,1
accord,1
account,12
accountant,3
accuracy,1
accusation,1
ace,5
ache,4
achieve,1
achievement,1
achiever,1
achilles,1
achoo,1
acid,1
ackee,1
ackern,1
acknowledge,1
acquitted,1
acre,3
across,13
act,47
actavis,3
acted,2
actin,26
acting,11
action,3
activate,1
active,3
actress,2
actual,1
actually,4
adam,3
adapt,2
add,4
added,1
adderall,7
addict,2
addicted,12
addiction,5
address,1
addressed,1
addy,7
addys,1
adhd,1
adios,2
adjacent,1
adjective,1
adjust,1
adjusting,1
adlib,1
adlon,1
admiration,1
admire,3
admission,1
admit,17
adobe,1
adolescence,1
adopt,1
adore,3
adored,2
adorеs,1
adrenaline,3
adult,1
advance,6
advanced,1
advantage,3
adventure,5
adversary,1
advice,9
advise,2
aerobics,4
aerospace,1
aesthetic,1
afar,1
affair,2
affected,1
affection,5
affiliate,1
afflicts,1
afford,6
aflac,1
afraid,28
africa,1
afro,1
afrocentric,1
afterglow,1
aftermarket,1
afternoon,3
afterparty,3
afterthought,1
ag,1
age,8
agenda,1
agent,1
aggression,1
aggressive,3
aggressively,1
agh,1
aglow,4
ago,13
agony,1
agree,5
agreement,1
agua,1
ah,145
ahead,14
ahem,1
ahh,9
ahhh,1
ahla,1
ahmaud,1
aid,4
aight,5
aim,10
aime,1
aimed,1
aimin,1
aiming,1
air,42
aire,1
airplane,2
airport,2
aisle,2
ajax,1
ak,4
akali,1
akeed,1
aki,1
akon,1
akorn,1
al,5
alam,2
alane,1
alarm,1
alaykum,2
albert,1
albino,1
album,9
alcohol,7
alcoholistic,1
ale,1
aleck,1
alegria,1
alexa,1
alf,1
alfred,2
algo,3
ali,3
alibi,1
alice,1
alicia,2
alien,7
alight,5
aligning,1
alike,1
alive,35
allegiance,1
allen,1
allergic,1
alley,1
alleyway,1
alligator,3
